"filename", "language", "C++", "CMake", "Dart", "YAML", "Markdown", "Swift", "HTML", "JSON", "XML", "Groovy", "Properties", "Java", "comment", "blank", "total"
"c:\Users\sszajbely\FlutterProjects\lender_app\README.md", "Markdown", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\sszajbely\FlutterProjects\lender_app\analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 1, 14, 86
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\debug\gen\csocsort\hu\machiato32\csocsort_szamla\BuildConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 2, 8
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\debug\gen\csocsort\hu\machiato32\csocsort_szamla\Manifest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 7
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\debug\gen\csocsort\hu\machiato32\csocsort_szamla\R.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 7
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 10, 3, 85
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\gen\csocsort\hu\machiato32\csocsort_szamla\BuildConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 2, 8
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\gen\csocsort\hu\machiato32\csocsort_szamla\Manifest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 7
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\gen\csocsort\hu\machiato32\csocsort_szamla\R.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 7
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 2, 16
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\res\drawable-v23\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 7, 2, 18
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 7, 2, 16
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\res\mipmap-anydpi-v26\dodo_icon.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\res\values\dodo_icon_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\res\values\string.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 1, 9
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\profile\gen\csocsort\hu\machiato32\csocsort_szamla\BuildConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 2, 8
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\profile\gen\csocsort\hu\machiato32\csocsort_szamla\Manifest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 7
"c:\Users\sszajbely\FlutterProjects\lender_app\android\app\src\profile\gen\csocsort\hu\machiato32\csocsort_szamla\R.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 2, 7
"c:\Users\sszajbely\FlutterProjects\lender_app\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 5, 33
"c:\Users\sszajbely\FlutterProjects\lender_app\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 2, 6
"c:\Users\sszajbely\FlutterProjects\lender_app\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\sszajbely\FlutterProjects\lender_app\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\sszajbely\FlutterProjects\lender_app\assets\translations\de.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 323, 0, 0, 0, 0, 0, 112, 435
"c:\Users\sszajbely\FlutterProjects\lender_app\assets\translations\en.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 323, 0, 0, 0, 0, 0, 111, 434
"c:\Users\sszajbely\FlutterProjects\lender_app\assets\translations\hu.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 322, 0, 0, 0, 0, 0, 111, 433
"c:\Users\sszajbely\FlutterProjects\lender_app\assets\translations\it.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 321, 0, 0, 0, 0, 0, 112, 433
"c:\Users\sszajbely\FlutterProjects\lender_app\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\sszajbely\FlutterProjects\lender_app\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 0, 134
"c:\Users\sszajbely\FlutterProjects\lender_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\sszajbely\FlutterProjects\lender_app\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\sszajbely\FlutterProjects\lender_app\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\sszajbely\FlutterProjects\lender_app\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\sszajbely\FlutterProjects\lender_app\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\forgot_password_dialog.dart", "Dart", 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 74
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\forgot_password_page.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 72
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\login\login_methods.dart", "Dart", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 125
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\login\login_pin_page.dart", "Dart", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 131
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\login\password_page.dart", "Dart", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 152
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\login_or_register_page.dart", "Dart", 0, 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 207
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\name_page.dart", "Dart", 0, 0, 255, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 265
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\pin_number_button.dart", "Dart", 0, 0, 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 147
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\pin_pad.dart", "Dart", 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 203
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\registration\currency_page.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 100
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\registration\personalised_ads_page.dart", "Dart", 0, 0, 178, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 186
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\auth\registration\register_pin_page.dart", "Dart", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 132
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\balance\balances.dart", "Dart", 0, 0, 436, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 457
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\balance\select_balance_currency.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 72
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\app_state_notifier.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\app_theme.dart", "Dart", 0, 0, 518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 536
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\currencies.dart", "Dart", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 86
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\http_handler.dart", "Dart", 0, 0, 414, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 23, 469
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\models.dart", "Dart", 0, 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 206
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\navigator_service.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\payments_needed.dart", "Dart", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 56
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\save_preferences.dart", "Dart", 0, 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30, 184
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\stack.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\validation_rules.dart", "Dart", 0, 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 9, 112
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\add_reaction_dialog.dart", "Dart", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 154
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\calculator.dart", "Dart", 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 369
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\category_picker_dropdown.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 85
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\category_picker_icon_button.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\confirm_choice_dialog.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 68
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\currency_picker_dropdown.dart", "Dart", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 80
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\currency_picker_icon_button.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\custom_amount_dialog.dart", "Dart", 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 162
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\custom_choice_chip.dart", "Dart", 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 141
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\error_message.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 72
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\future_success_dialog.dart", "Dart", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 18, 213
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\gradient_button.dart", "Dart", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 4, 98
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\member_chips.dart", "Dart", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 221
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\past_reaction_container.dart", "Dart", 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 101
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\tap_or_hold_button.dart", "Dart", 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 14, 95
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\essentials\widgets\version_not_supported_page.dart", "Dart", 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57
"c:\Users\sszajbely\FlutterProjects\lender_app\lib\groups\boost_group.dart", "Dart", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 172
